,stage,cm,sex,lat,lon,area
,L,218,F,38.089,1.673,WMED
,J,162,M,36.456,-2.599,WMED
,J,170,M,36.436,-2.678,WMED
,J,164,M,36.436,-2.678,WMED
,J,146,M,36.445,-2.607,WMED
,J,161,F,36.445,-2.607,WMED
,J,158,F,36.416,-2.735,WMED
,L,186,M,36.421,-3.544,WMED
,J,162,F,36.303,-3.266,WMED
,L,192,M,41.012405,2.6597,WMED
,L,194,M,40.6905,2.459916667,WMED
,J,171,F,40.6611,2.4236,WMED
,J,158,F,40.73823333,2.496033333,WMED
,L,216,M,40.73823333,2.496033333,WMED
,J,172,M,40.73823333,2.496033333,WMED
,J,174,F,40.73823333,2.496033333,WMED
,J,150,M,41.05043333,2.16885,WMED
,L,189,M,41.05043333,2.16885,WMED
,L,192,M,41.05043333,2.16885,WMED
,L,196,M,41.05043333,2.16885,WMED
,L,183,M,41.05043333,2.16885,WMED
,L,181,M,40.44591667,2.322316667,WMED
,J,162,M,41.07006667,2.378666667,WMED
,J,136,M,41.07006667,2.378666667,WMED
,J,154,M,41.07006667,2.378666667,WMED
,J,145,M,41.07006667,2.378666667,WMED
,L,192,M,41.07006667,2.378666667,WMED
,J,174,M,41.07006667,2.378666667,WMED
,J,180,M,41.07006667,2.378666667,WMED
,L,190,M,41.07006667,2.378666667,WMED
,J,169,M,40.457,2.546,WMED
,L,204,M,40.369,2.439,WMED
,L,196,M,40.449,2.665,WMED
,J,170,M,40.395,2.644,WMED
,J,179,M,40.395,2.644,WMED
,L,201,M,40.395,2.644,WMED
,J,183,M,38.66836,14.51157,WMED
,J,106,M,38.66621,14.79172,WMED
,J,118,M,38.51271,14.67224,WMED
,J,102,F,38.49874,14.52805,WMED
,J,87,na,38.49552,14.69696,WMED
,J,82,na,38.47079,14.81094,WMED
,J,73,na,38.50059,14.73953,WMED
,J,67,na,38.50059,14.73953,WMED
,J,77,na,38.50059,14.73953,WMED
,J,80,na,38.68658,14.99496,WMED
,J,71,F,43.780833,7.887778,WMED
,J,121,M,43.5975,8.151389,WMED
,L,221,M,43.4475,7.631111,WMED
,L,308,M,43.688611,8.428333,WMED
,J,122,F,43.803333,8.445833,WMED
,L,198,F,44.166944,8.811389,WMED
,J,167,F,43.729444,7.715278,WMED
,L,254,F,43.485833,7.886667,WMED
,J,192,F,43.731389,8.394444,WMED
,J,98,F,43.862778,8.503889,WMED
,J,75,F,43.55,7.942778,WMED
,L,214,F,43.727222,7.730278,WMED
,J,78,M,43.554167,7.991667,WMED
,L,262,M,43.653333,8.030556,WMED
,J,180,F,43.699722,8.432778,WMED
,J,176,F,43.599444,7.971389,WMED
,J,136,F,43.407222,7.29,WMED
,J,126,M,43.509167,7.714167,WMED
,J,169,F,43.799722,8.060278,WMED
,J,146,F,43.782222,7.954167,WMED
,J,161,M,43.623611,8.148333,WMED
,J,148,F,43.506944,7.704167,WMED
,J,150,M,43.599444,7.971389,WMED
,J,195,F,43.599444,7.971389,WMED
,J,144,F,43.626111,8.051944,WMED
,L,244,M,43.648333,8.274167,WMED
,L,206,F,43.499167,8.100833,WMED
,J,187,F,43.293611,7.775556,WMED
,J,131,F,43.561111,8.82,WMED
,J,159,F,43.458333,7.861944,WMED
,J,167,M,43.345278,7.741667,WMED
,J,192,F,43.538889,7.095,WMED
,J,154,M,43.538889,7.428333,WMED
,J,147,M,43.342222,8.101944,WMED
,J,161,M,43.656667,8.829722,WMED
,L,200,F,44.076667,8.719722,WMED
,L,199,F,43.268056,8.365278,WMED
,J,62,M,43.157778,7.828056,WMED
,J,151,F,43.770833,7.765833,WMED
,J,162,F,43.3325,7.415556,WMED
,J,138,M,43.249167,7.96,WMED
,J,113,M,43.288611,8.376944,WMED
,J,132,F,43.850278,8.426667,WMED
,J,133,M,43.473056,8.440833,WMED
,J,136,M,43.461111,7.868333,WMED
,J,141,F,43.473611,7.887222,WMED
,J,156,F,43.4375,8.075278,WMED
,J,166,F,43.269167,8.456944,WMED
,J,59,F,43.167778,8.497222,WMED
,J,171,F,42.917778,8.866944,WMED
,J,175,F,42.064444,7.993333,WMED
,J,111,M,43.375278,9.360833,WMED
,J,120,F,43.286944,9.3225,WMED
,J,124,F,43.298889,9.4625,WMED
,J,125,F,43.3025,9.481944,WMED
,J,113,M,43.196389,9.29,WMED
,J,128,M,43.338611,9.638889,WMED
,J,109,F,43.259167,9.686944,WMED
,J,153,F,43.365,9.561111,WMED
,J,151,F,43.469722,9.593056,WMED
,J,126,F,43.402222,9.477778,WMED
,J,106,F,43.383611,9.4475,WMED
,J,113,M,43.310833,9.434444,WMED
,J,193,F,43.368611,9.209167,WMED
,J,132,F,43,850278,8,426667,WMED
,J,133,M,43,473056,8,440833,WMED
,J,136,M,43,461111,7,868333,WMED
,J,141,F,43,473611,7,887222,WMED
,J,156,F,43,4375,8,075278,WMED
,J,166,F,43,269167,8,456944,WMED
,J,59,F,43,167778,8,497222,WMED
,J,171,F,42,917778,8,866944,WMED
,J,175,F,42,064444,7,993333,WMED
,J,111,M,43,375278,9,360833,WMED
,J,120,F,43,286944,9,3225,WMED
,J,124,F,43,298889,9,4625,WMED
,J,125,F,43,3025,9,481944,WMED
,J,113,M,43,196389,9,29,WMED
,J,128,M,43,338611,9,638889,WMED
,J,109,F,43,259167,9,686944,WMED
,J,153,F,43,365,9,561111,WMED
,J,151,F,43,469722,9,593056,WMED
,J,126,F,43,402222,9,477778,WMED
,J,106,F,43,383611,9,4475,WMED
,J,113,M,43,310833,9,434444,WMED
,J,193,F,43,368611,9,209167,WMED
